ts,rate
1765544400065,1.25e-05
1765548000016,1.25e-05
1765551600036,1.25e-05
1765555200063,1.25e-05
1765558800048,1.25e-05
1765562400100,1.25e-05
1765566000047,1.25e-05
1765569600061,1.25e-05
1765573200053,8.0833e-06
1765576800043,1.12089e-05
1765580400048,1.25e-05
1765584000091,1.25e-05
1765587600043,1.25e-05
1765591200027,1.25e-05
1765594800090,1.25e-05
1765598400011,1.25e-05
1765602000068,1.20162e-05
1765605600030,1.25e-05
1765609200002,8.2193e-06
1765612800054,1.15238e-05
1765616400047,1.25e-05
1765620000009,1.25e-05
1765623600027,1.25e-05
1765627200024,1.25e-05
1765630800079,1.25e-05
1765634400061,1.25e-05
1765638000113,1.25e-05
1765641600054,1.25e-05
1765645200085,1.25e-05
1765648800079,1.25e-05
1765652400003,1.25e-05
1765656000137,1.25e-05
1765659600031,1.25e-05
1765663200014,1.25e-05
1765666800022,1.25e-05
1765670400071,1.25e-05
1765674000077,1.25e-05
1765677600004,1.25e-05
1765681200045,1.25e-05
1765684800070,1.25e-05
1765688400007,1.25e-05
1765692000066,1.25e-05
1765695600048,1.25e-05
1765699200098,1.18711e-05
1765702800052,1.25e-05
1765706400041,1.05468e-05
1765710000121,1.0703e-06
1765713600014,-1.6686e-06
1765717200017,4.8361e-06
1765720800060,3.3066e-06
1765724400031,6.557e-06
1765728000070,2.131e-06
1765731600069,1.9863e-06
1765735200047,6.2461e-06
1765738800044,9.6375e-06
1765742400047,8.1333e-06
1765746000068,6.1986e-06
1765749600087,7.6293e-06
1765753200015,8.2866e-06
1765756800088,8.8308e-06
1765760400010,1.25e-05
1765764000047,1.25e-05
1765767600076,1.25e-05
1765771200021,1.25e-05
1765774800059,1.25e-05
1765778400047,4.6403e-06
1765782000042,-4.7247e-06
1765785600082,-5.2313e-06
1765789200059,-1.5001e-06
1765792800075,9.15e-07
1765796400123,-3.4668e-06
1765800000009,-4.8881e-06
1765803600004,-1.04049e-05
1765807200067,-7.3302e-06
1765810800001,-8.9505e-06
1765814400063,1.25e-05
1765818000112,1.25e-05
1765821600057,1.25e-05
1765825200060,1.25e-05
1765828800032,1.25e-05
1765832400059,1.25e-05
1765836000047,1.25e-05
1765839600069,1.25e-05
1765843200079,1.25e-05
1765846800072,1.25e-05
1765850400054,1.25e-05
1765854000051,1.25e-05
1765857600068,1.25e-05
1765861200036,1.25e-05
1765864800047,1.25e-05
1765868400012,1.25e-05
1765872000101,1.25e-05
1765875600077,1.25e-05
1765879200029,8.4387e-06
1765882800055,1.25e-05
1765886400047,1.25e-05
1765890000026,1.25e-05
1765893600003,7.882e-06
1765897200025,2.595e-07
1765900800075,-4.4996e-06
1765904400045,-4.1559e-06
1765908000063,-7.9638e-06
1765911600014,-1.09347e-05
1765915200180,-1.15013e-05
1765918800001,-6.943e-06
1765922400081,-3.603e-06
1765926000079,1.0551e-06
1765929600013,-6.8433e-06
1765933200109,-8.5656e-06
1765936800088,-7.1466e-06
1765940400065,-7.0765e-06
1765944000020,-6.6497e-06
1765947600122,-1.30682e-05
1765951200024,-8.9579e-06
1765954800010,-6.1917e-06
1765958400022,-3.6501e-06
1765962000055,7.345e-07
1765965600016,2.6898e-06
1765969200072,8.6368e-06
1765972800021,7.206e-06
1765976400083,2.5538e-06
1765980000018,5.8884e-06
1765983600040,7.8316e-06
1765987200034,1.25e-05
1765990800038,1.02279e-05
1765994400074,3.5633e-06
1765998000014,1.1345e-05
1766001600061,1.25e-05
1766005200032,1.25e-05
1766008800073,1.11411e-05
1766012400000,1.25e-05
1766016000033,1.25e-05
1766019600079,1.25e-05
1766023200030,1.25e-05
1766026800055,1.25e-05
1766030400029,1.25e-05
1766034000055,1.25e-05
1766037600044,1.25e-05
1766041200025,1.21449e-05
1766044800050,1.25e-05
1766048400003,1.25e-05
1766052000091,1.25e-05
1766055600056,1.25e-05
1766059200039,1.19147e-05
1766062800003,1.25e-05
1766066400026,1.25e-05
1766070000050,8.3868e-06
1766073600031,1.21597e-05
1766077200074,1.25e-05
1766080800080,8.3306e-06
1766084400016,8.5137e-06
1766088000077,2.188e-06
1766091600013,-6.9929e-06
1766095200073,-3.459e-07
1766098800067,9.1495e-06
1766102400067,1.07241e-05
1766106000032,1.05005e-05
1766109600061,1.25e-05
1766113200012,1.25e-05
1766116800009,1.25e-05
1766120400067,1.25e-05
1766124000047,9.3423e-06
1766127600033,6.67e-06
1766131200054,1.25e-05
1766134800013,8.6209e-06
1766138400046,8.9616e-06
1766142000006,1.15865e-05
1766145600061,1.25e-05
1766149200006,4.6948e-06
1766152800026,8.2957e-06
1766156400126,5.0453e-06
1766160000091,5.2025e-06
1766163600109,6.7152e-06
1766167200025,-1.52379e-05
1766170800014,-1.75496e-05
1766174400036,-1.26302e-05
1766178000021,-5.0261e-06
1766181600013,4.0235e-06
1766185200045,4.1155e-06
1766188800049,1.4887e-06
1766192400054,-6.0575e-06
1766196000052,-2.854e-07
1766199600088,-9.6376e-06
1766203200068,-1.02924e-05
1766206800010,-1.40902e-05
1766210400061,-3.4191e-06
1766214000016,-3.9477e-06
1766217600027,-9.521e-06
1766221200085,-8.355e-07
1766224800128,-4.2991e-06
1766228400020,-1.03978e-05
1766232000008,-6.6828e-06
1766235600029,-7.6435e-06
1766239200160,-8.7836e-06
1766242800007,-1.32085e-05
1766246400049,-7.8636e-06
1766250000090,-7.8637e-06
1766253600003,-4.7745e-06
1766257200040,1.3032e-06
1766260800009,3.4556e-06
1766264400059,4.586e-06
1766268000093,1.08956e-05
1766271600087,7.5638e-06
1766275200121,7.6255e-06
1766278800035,9.1153e-06
1766282400051,6.4979e-06
1766286000019,1.9012e-06
1766289600042,1.0297e-05
1766293200026,5.8553e-06
1766296800033,8.779e-06
1766300400023,7.4338e-06
1766304000005,5.1756e-06
1766307600041,4.7044e-06
1766311200026,7.574e-06
1766314800001,8.0292e-06
1766318400014,1.0825e-05
1766322000104,9.7774e-06
1766325600061,4.6548e-06
1766329200046,1.16999e-05
1766332800090,1.25e-05
1766336400081,9.5304e-06
1766340000005,7.6689e-06
1766343600103,7.8764e-06
1766347200004,1.25e-05
1766350800091,1.25e-05
1766354400043,1.25e-05
1766358000179,1.01163e-05
1766361600034,1.05287e-05
1766365200030,1.25e-05
1766368800054,1.07008e-05
1766372400057,9.2505e-06
1766376000017,1.25e-05
1766379600041,1.25e-05
1766383200079,1.25e-05
1766386800012,1.25e-05
1766390400066,1.25e-05
1766394000042,1.25e-05
1766397600028,1.25e-05
1766401200073,1.25e-05
1766404800028,1.25e-05
1766408400031,9.4677e-06
1766412000065,4.6993e-06
1766415600012,2.907e-06
1766419200031,1.9175e-06
1766422800050,3.2477e-06
1766426400030,1.2632e-06
1766430000006,-1.632e-07
1766433600046,-6.69e-06
1766437200000,3.265e-07
1766440800036,-1.6141e-06
1766444400053,-8.76e-06
1766448000002,-1.33338e-05
1766451600098,-9.6357e-06
1766455200053,-1.20261e-05
1766458800060,-6.3835e-06
1766462400059,1.2858e-06
1766466000066,2.6991e-06
1766469600065,3.5174e-06
1766473200033,7.982e-06
1766476800066,8.4996e-06
1766480400061,1.05426e-05
1766484000050,1.17634e-05
1766487600027,1.25e-05
1766491200062,1.25e-05
1766494800067,1.25e-05
1766498400025,1.25e-05
1766502000117,1.25e-05
1766505600036,1.25e-05
1766509200118,1.25e-05
1766512800008,1.25e-05
1766516400021,1.25e-05
1766520000206,1.25e-05
1766523600067,1.25e-05
1766527200021,1.25e-05
1766530800051,1.25e-05
1766534400088,1.25e-05
1766538000030,1.25e-05
1766541600077,1.25e-05
1766545200005,1.25e-05
1766548800045,1.25e-05
1766552400039,9.1053e-06
1766556000027,9.0267e-06
1766559600010,1.25e-05
1766563200074,1.17565e-05
1766566800035,1.06264e-05
1766570400079,1.25e-05
1766574000034,1.25e-05
1766577600028,1.25e-05
1766581200012,1.25e-05
1766584800025,1.25e-05
1766588400087,1.25e-05
1766592000002,1.25e-05
1766595600013,1.25e-05
1766599200037,1.25e-05
1766602800010,1.25e-05
1766606400012,1.25e-05
1766610000014,1.25e-05
1766613600001,1.25e-05
1766617200087,1.25e-05
1766620800009,1.25e-05
1766624400033,1.25e-05
1766628000085,1.25e-05
1766631600030,1.25e-05
1766635200034,1.25e-05
1766638800023,1.25e-05
1766642400056,1.25e-05
1766646000023,1.25e-05
1766649600045,1.25e-05
1766653200041,1.25e-05
1766656800018,1.25e-05
1766660400029,1.25e-05
1766664000064,1.25e-05
1766667600067,1.25e-05
1766671200102,1.25e-05
