ts,rate
1765544400065,1.25e-05
1765548000016,1.25e-05
1765551600036,1.25e-05
1765555200063,1.25e-05
1765558800048,3.83382e-05
1765562400100,1.25e-05
1765566000047,1.25e-05
1765569600061,1.25e-05
1765573200053,1.25e-05
1765576800043,1.25e-05
1765580400048,1.25e-05
1765584000091,1.25e-05
1765587600043,1.25e-05
1765591200027,1.25e-05
1765594800090,1.25e-05
1765598400011,1.25e-05
1765602000068,1.25e-05
1765605600030,1.25e-05
1765609200002,1.25e-05
1765612800054,1.25e-05
1765616400047,1.25e-05
1765620000009,1.25e-05
1765623600027,1.25e-05
1765627200024,1.25e-05
1765630800079,1.25e-05
1765634400061,1.25e-05
1765638000113,1.25e-05
1765641600054,1.25e-05
1765645200085,1.25e-05
1765648800079,1.25e-05
1765652400003,1.25e-05
1765656000137,1.25e-05
1765659600031,1.25e-05
1765663200014,1.25e-05
1765666800022,1.25e-05
1765670400071,1.25e-05
1765674000077,1.25e-05
1765677600004,1.25e-05
1765681200045,1.25e-05
1765684800070,1.25e-05
1765688400007,1.25e-05
1765692000066,1.25e-05
1765695600048,1.25e-05
1765699200098,1.25e-05
1765702800052,1.25e-05
1765706400041,1.25e-05
1765710000121,1.25e-05
1765713600014,1.25e-05
1765717200017,1.25e-05
1765720800060,1.25e-05
1765724400031,1.25e-05
1765728000070,1.25e-05
1765731600069,1.25e-05
1765735200047,1.25e-05
1765738800044,1.25e-05
1765742400047,1.25e-05
1765746000068,1.25e-05
1765749600087,1.25e-05
1765753200015,1.25e-05
1765756800088,1.25e-05
1765760400010,1.25e-05
1765764000047,1.25e-05
1765767600076,1.25e-05
1765771200021,1.25e-05
1765774800059,1.25e-05
1765778400047,1.25e-05
1765782000042,1.25e-05
1765785600082,1.25e-05
1765789200059,1.25e-05
1765792800075,1.25e-05
1765796400123,1.25e-05
1765800000009,1.25e-05
1765803600004,1.25e-05
1765807200067,1.25e-05
1765810800001,1.25e-05
1765814400063,1.25e-05
1765818000112,1.25e-05
1765821600057,1.25e-05
1765825200060,1.25e-05
1765828800032,1.25e-05
1765832400059,1.25e-05
1765836000047,1.25e-05
1765839600069,1.25e-05
1765843200079,1.25e-05
1765846800072,1.25e-05
1765850400054,1.25e-05
1765854000051,1.25e-05
1765857600068,1.25e-05
1765861200036,1.25e-05
1765864800047,1.25e-05
1765868400012,1.25e-05
1765872000101,1.25e-05
1765875600077,1.25e-05
1765879200029,1.25e-05
1765882800055,1.25e-05
1765886400047,1.25e-05
1765890000026,1.25e-05
1765893600003,1.25e-05
1765897200025,1.25e-05
1765900800075,1.25e-05
1765904400045,9.8093e-06
1765908000063,1.18246e-05
1765911600014,1.25e-05
1765915200180,1.25e-05
1765918800001,1.25e-05
1765922400081,1.25e-05
1765926000079,1.25e-05
1765929600013,1.25e-05
1765933200109,1.25e-05
1765936800088,1.25e-05
1765940400065,1.25e-05
1765944000020,1.25e-05
1765947600122,1.25e-05
1765951200024,1.25e-05
1765954800010,1.25e-05
1765958400022,1.25e-05
1765962000055,1.25e-05
1765965600016,1.25e-05
1765969200072,1.25e-05
1765972800021,1.25e-05
1765976400083,1.25e-05
1765980000018,1.25e-05
1765983600040,1.25e-05
1765987200034,1.25e-05
1765990800038,1.25e-05
1765994400074,6.0833e-06
1765998000014,1.1054e-06
1766001600061,1.25e-05
1766005200032,1.1525e-05
1766008800073,1.17259e-05
1766012400000,1.25e-05
1766016000033,8.2245e-06
1766019600079,6.6999e-06
1766023200030,1.04281e-05
1766026800055,1.06216e-05
1766030400029,7.0608e-06
1766034000055,9.5185e-06
1766037600044,1.05109e-05
1766041200025,1.15598e-05
1766044800050,6.1512e-06
1766048400003,1.25e-05
1766052000091,1.25e-05
1766055600056,1.25e-05
1766059200039,1.1222e-05
1766062800003,1.12699e-05
1766066400026,1.25e-05
1766070000050,1.25e-05
1766073600031,6.7187e-06
1766077200074,1.03582e-05
1766080800080,3.1941e-06
1766084400016,3.8946e-06
1766088000077,5.208e-07
1766091600013,1.1058e-06
1766095200073,1.11928e-05
1766098800067,1.08915e-05
1766102400067,1.02201e-05
1766106000032,8.8289e-06
1766109600061,1.07039e-05
1766113200012,1.08374e-05
1766116800009,1.16477e-05
1766120400067,6.5585e-06
1766124000047,9.8612e-06
1766127600033,9.4151e-06
1766131200054,8.7706e-06
1766134800013,3.7168e-06
1766138400046,6.0761e-06
1766142000006,5.2643e-06
1766145600061,1.25e-05
1766149200006,1.0169e-05
1766152800026,1.10938e-05
1766156400126,1.25e-05
1766160000091,1.23403e-05
1766163600109,1.17536e-05
1766167200025,1.25e-05
1766170800014,1.07544e-05
1766174400036,1.25e-05
1766178000021,1.25e-05
1766181600013,1.25e-05
1766185200045,1.25e-05
1766188800049,1.25e-05
1766192400054,1.25e-05
1766196000052,1.25e-05
1766199600088,1.25e-05
1766203200068,1.25e-05
1766206800010,1.25e-05
1766210400061,1.25e-05
1766214000016,1.25e-05
1766217600027,1.25e-05
1766221200085,1.25e-05
1766224800128,1.25e-05
1766228400020,1.25e-05
1766232000008,1.25e-05
1766235600029,1.25e-05
1766239200160,1.25e-05
1766242800007,1.24448e-05
1766246400049,9.4842e-06
1766250000090,8.7806e-06
1766253600003,8.2665e-06
1766257200040,5.321e-06
1766260800009,9.2978e-06
1766264400059,9.2269e-06
1766268000093,9.0576e-06
1766271600087,1.25e-05
1766275200121,1.25e-05
1766278800035,1.2306e-05
1766282400051,9.5755e-06
1766286000019,1.18472e-05
1766289600042,1.25e-05
1766293200026,1.19576e-05
1766296800033,1.25e-05
1766300400023,1.25e-05
1766304000005,1.25e-05
1766307600041,1.25e-05
1766311200026,1.25e-05
1766314800001,1.25e-05
1766318400014,1.25e-05
1766322000104,1.25e-05
1766325600061,1.25e-05
1766329200046,1.25e-05
1766332800090,1.25e-05
1766336400081,1.25e-05
1766340000005,1.25e-05
1766343600103,1.25e-05
1766347200004,1.04108e-05
1766350800091,1.25e-05
1766354400043,8.8585e-06
1766358000179,1.25e-05
1766361600034,1.25e-05
1766365200030,1.25e-05
1766368800054,1.25e-05
1766372400057,1.25e-05
1766376000017,1.25e-05
1766379600041,1.25e-05
1766383200079,1.25e-05
1766386800012,1.25e-05
1766390400066,1.25e-05
1766394000042,1.25e-05
1766397600028,1.25e-05
1766401200073,1.25e-05
1766404800028,1.25e-05
1766408400031,1.22054e-05
1766412000065,1.07308e-05
1766415600012,7.0346e-06
1766419200031,1.06036e-05
1766422800050,1.22235e-05
1766426400030,1.05913e-05
1766430000006,8.7826e-06
1766433600046,4.8849e-06
1766437200000,5.7362e-06
1766440800036,4.8717e-06
1766444400053,7.6182e-06
1766448000002,7.1277e-06
1766451600098,1.13146e-05
1766455200053,8.1109e-06
1766458800060,3.7545e-06
1766462400059,8.161e-06
1766466000066,6.1136e-06
1766469600065,3.3085e-06
1766473200033,1.25e-05
1766476800066,1.25e-05
1766480400061,9.399e-06
1766484000050,5.1095e-06
1766487600027,3.4496e-06
1766491200062,1.00609e-05
1766494800067,8.5093e-06
1766498400025,7.2179e-06
1766502000117,1.25e-05
1766505600036,1.25e-05
1766509200118,1.25e-05
1766512800008,9.0714e-06
1766516400021,6.4576e-06
1766520000206,7.8301e-06
1766523600067,1.19197e-05
1766527200021,8.0338e-06
1766530800051,3.6036e-06
1766534400088,7.7691e-06
1766538000030,6.7585e-06
1766541600077,9.1348e-06
1766545200005,7.132e-06
1766548800045,1.18228e-05
1766552400039,1.25e-05
1766556000027,9.3994e-06
1766559600010,1.09747e-05
1766563200074,1.01138e-05
1766566800035,1.2121e-05
1766570400079,1.25e-05
1766574000034,1.25e-05
1766577600028,1.25e-05
1766581200012,1.25e-05
1766584800025,1.25e-05
1766588400087,1.25e-05
1766592000002,1.25e-05
1766595600013,1.25e-05
1766599200037,1.25e-05
1766602800010,1.25e-05
1766606400012,1.25e-05
1766610000014,1.25e-05
1766613600001,1.25e-05
1766617200087,1.25e-05
1766620800009,1.25e-05
1766624400033,1.25e-05
1766628000085,1.25e-05
1766631600030,1.25e-05
1766635200034,1.25e-05
1766638800023,1.25e-05
1766642400056,1.25e-05
1766646000023,1.25e-05
1766649600045,1.25e-05
1766653200041,1.25e-05
1766656800018,1.25e-05
1766660400029,1.25e-05
1766664000064,1.25e-05
1766667600067,1.25e-05
1766671200102,1.25e-05
1766674800042,1.25e-05
1766678400058,1.25e-05
1766682000056,1.23722e-05
1766685600010,1.25e-05
1766689200040,1.25e-05
1766692800060,1.25e-05
1766696400080,1.25e-05
1766700000003,1.25e-05
