,BTCUSDT,ETHUSDT,SOLUSDT,VELVETUSDT,HYPEUSDT,ZECUSDT,XRPUSDT,WLDUSDT,DOGEUSDT,AIOUSDT,NEARUSDT,BNBUSDT,HUSDT,STGUSDT,1000PEPEUSDT,ADAUSDT,SUIUSDT,PAXGUSDT,PLAYUSDT,HMSTRUSDT,ENAUSDT,IDUSDT,FILUSDT,AVAXUSDT,LINKUSDT,XLMUSDT,BCHUSDT,TONUSDT,CRVUSDT,HOMEUSDT,ESPORTSUSDT,TAOUSDT,TRXUSDT,DOTUSDT,SKYAIUSDT,ARBUSDT,SIRENUSDT,ONDOUSDT,CHZUSDT,LTCUSDT,XMRUSDT,INJUSDT,SAHARAUSDT,TRUMPUSDT,UNIUSDT,AAVEUSDT,FETUSDT,PUMPUSDT,PENGUUSDT,VVVUSDT,ASTRUSDT,ATOMUSDT,PIPPINUSDT,FIDAUSDT,OPUSDT,SXTUSDT,APTUSDT,EPICUSDT,FARTCOINUSDT,1000SHIBUSDT,DEXEUSDT,GALAUSDT,DASHUSDT,VIRTUALUSDT,JTOUSDT,ORDIUSDT,ICPUSDT,PYTHUSDT,ETCUSDT,WIFUSDT,MORPHOUSDT
2025-01-28 00:00:00+00:00,101279.6,3075.96,226.91,,,41.69,3.0553,1.6306,0.31853,,4.281,661.08,,0.3168,0.0114455,0.9161,3.6514,,,0.002512,0.6573,0.33651,4.384,32.048,22.599,0.39244,410.34,4.7817,0.675,,,450.62,0.23975,5.646,,0.5921,,1.3314,0.06382,109.86,217.86,17.581,,27.329,11.127,283.95,0.9784,,0.015522,,0.047601,5.661,0.07724,0.1846,1.3697,,7.2091,,0.8085,0.017951,19.422,0.02734,31.0,1.8666,2.83,17.177,8.54,0.26796,24.957,1.0563,3.094
2025-01-29 00:00:00+00:00,103698.2,3112.55,228.04,,,42.37,3.0671,1.7234,0.32388,,4.416,667.94,,0.3256,0.0123969,0.9391,3.697,,,0.002575,0.6817,0.34215,4.511,32.779,23.649,0.39241,414.73,4.8215,0.7,,,448.77,0.23996,5.762,,0.605,,1.4659,0.06538,115.8,221.62,18.38,,27.242,11.721,290.79,0.9917,,0.01507,9.398,0.048618,5.817,0.07325,0.19231,1.4346,,7.4255,,1.0061,0.018288,16.183,0.02897,32.09,1.924,3.2307,18.127,8.575,0.27457,25.518,1.1836,3.131
2025-01-30 00:00:00+00:00,104676.9,3245.86,238.15,,,43.91,3.127,1.7657,0.33137,,4.601,677.87,,0.3358,0.0129278,0.9591,4.1162,,,0.002695,0.7593,0.35711,4.807,34.278,24.449,0.42864,434.72,4.8191,0.785,,,452.76,0.25186,6.123,,0.6299,,1.564,0.07238,130.06,232.94,19.913,,26.063,11.961,315.36,1.0456,,0.014696,6.529,0.049572,6.211,0.0609,0.19982,1.4527,,7.8344,,1.1345,0.018676,21.022,0.03102,34.07,2.0107,3.3517,19.17,9.137,0.28621,26.272,1.1539,3.1983
2025-01-31 00:00:00+00:00,102379.7,3299.5,231.59,,,43.22,3.0347,1.7724,0.32872,,4.619,677.79,,0.3358,0.0138633,0.9422,4.086,,,0.002703,0.7644,0.35903,4.811,34.421,25.15,0.41404,424.11,4.8285,0.781,,,449.37,0.25361,6.318,,0.6412,,1.4869,0.07189,128.01,238.61,20.265,,24.14,11.767,332.6,1.0285,,0.014783,5.659,0.050304,6.24,0.04972,0.20011,1.4276,,7.8108,,0.8925,0.018896,21.487,0.03188,33.9,1.9738,3.3894,19.87,9.284,0.28529,26.833,1.1351,3.1436
2025-02-01 00:00:00+00:00,100603.6,3116.22,212.89,,,39.16,2.8768,1.6127,0.30771,,4.254,652.83,,0.3066,0.0122376,0.8941,3.733,,,0.002432,0.6753,0.33061,4.37,32.089,22.961,0.39198,403.69,4.601,0.686,,,392.8,0.24406,5.904,,0.5775,,1.3411,0.06614,118.02,234.3,18.269,,19.697,10.851,295.95,0.9346,,0.013555,3.981,0.046718,5.811,0.03767,0.18085,1.3348,,7.0491,,0.6318,0.017595,21.02,0.02818,30.41,1.6023,2.9965,17.344,8.489,0.25661,24.945,1.0084,2.7384
2025-02-02 00:00:00+00:00,97664.5,2868.05,203.42,,,33.21,2.5784,1.391,0.26793,,3.747,617.69,,0.2717,0.0107638,0.8042,3.3051,,,0.002059,0.5782,0.28271,3.6,27.614,20.45,0.35374,360.4,4.0592,0.555,,,350.54,0.22547,5.15,,0.4934,,1.2522,0.05771,109.04,222.11,15.507,,21.011,9.179,258.22,0.8217,,0.013038,3.369,0.041229,4.877,0.03334,0.16253,1.1166,,6.1531,,0.7191,0.015508,20.245,0.0239,26.85,1.4433,2.8689,13.791,7.481,0.22283,22.495,0.9491,2.3675
2025-02-03 00:00:00+00:00,101293.7,2878.69,216.2,,,35.43,2.6989,1.4195,0.28469,,3.77,616.76,,0.2883,0.0109988,0.8116,3.6483,,,0.001963,0.6775,0.2826,3.505,28.382,21.636,0.37005,352.87,4.0724,0.576,,,399.02,0.22854,5.174,,0.5105,,1.4063,0.06241,106.84,225.51,16.042,,19.656,9.951,276.29,0.8625,,0.013558,5.503,0.041448,4.922,0.04584,0.16028,1.186,,6.4975,,0.8071,0.016783,23.95,0.02443,26.82,1.5825,3.1032,13.523,7.636,0.2243,22.027,0.8598,2.3808
2025-02-04 00:00:00+00:00,97709.9,2730.03,206.48,,,32.09,2.5253,1.3139,0.26331,,3.392,572.81,,0.274,0.0101507,0.7434,3.5918,,,0.001793,0.6071,0.25668,3.333,26.448,19.965,0.34056,329.52,3.784,0.524,,,358.18,0.22436,4.738,,0.4772,,1.3524,0.05814,101.01,220.01,14.341,,17.183,9.064,271.99,0.7875,,0.013082,5.167,0.038976,4.685,0.03532,0.15194,1.1111,,6.0787,,0.6416,0.015742,21.012,0.02246,25.62,1.4322,2.9405,12.763,7.028,0.20439,20.645,0.802,2.0624
2025-02-05 00:00:00+00:00,96553.2,2787.0,196.03,,,32.12,2.3799,1.2871,0.25604,,3.277,569.42,,0.2676,0.0100016,0.7319,3.3283,,,0.001724,0.5488,0.25297,3.24,25.836,19.181,0.32686,327.79,3.7803,0.512,,,349.98,0.2223,4.686,,0.4704,,1.3085,0.05632,103.31,227.34,13.986,,18.159,9.266,259.57,0.7617,,0.011669,6.13,0.038982,4.672,0.03289,0.14707,1.0886,,5.9652,,0.4944,0.01576,20.758,0.02251,25.3,1.2977,2.6228,12.315,6.987,0.19752,20.679,0.7941,1.9392
2025-02-06 00:00:00+00:00,96515.1,2685.25,189.45,,,29.84,2.3238,1.2005,0.24773,,3.141,571.47,,0.2508,0.0092097,0.7047,3.134,,,0.001536,0.4713,0.23708,3.118,24.488,18.574,0.3179,315.91,3.738,0.47,,,325.86,0.23148,4.487,,0.4452,,1.3527,0.05409,101.59,222.43,13.107,,17.079,8.975,241.32,0.7125,,0.010666,5.163,0.036906,4.403,0.02678,0.13645,1.0376,,5.7246,,0.4236,0.014845,20.172,0.02084,24.54,1.1585,2.4957,11.169,6.705,0.18217,19.671,0.7109,1.8468
2025-02-07 00:00:00+00:00,96454.5,2620.66,191.84,,,30.09,2.3951,1.2041,0.24637,,3.203,577.42,,0.257,0.0089219,0.7066,3.0112,,,0.00156,0.4928,0.24113,3.185,24.447,18.368,0.32642,318.37,3.7142,0.476,,,319.39,0.22992,4.588,,0.4323,,1.3994,0.05522,103.03,205.5,13.472,,16.565,9.002,237.93,0.7276,,0.010138,6.111,0.037729,4.369,0.0264,0.13848,1.0179,,5.7071,,0.4212,0.015084,20.646,0.02117,25.01,1.1492,2.4667,11.172,6.785,0.17715,19.79,0.6767,1.7729
2025-02-08 00:00:00+00:00,96411.9,2630.99,199.21,,,31.83,2.4179,1.2472,0.25274,,3.282,612.27,,0.2674,0.00956,0.7001,3.0602,,,0.001719,0.5219,0.25935,3.302,24.569,18.428,0.33131,322.87,3.7372,0.51,,,350.37,0.2311,4.741,,0.4497,,1.3456,0.05809,104.62,214.09,13.801,,17.239,9.133,238.66,0.7344,,0.01055,7.288,0.039532,4.564,0.02798,0.1474,1.0613,,5.8411,,0.5421,0.015958,20.071,0.02205,25.74,1.2446,2.5285,12.162,7.009,0.18941,20.101,0.7172,2.0325
2025-02-09 00:00:00+00:00,96423.6,2626.07,200.32,,,32.38,2.3909,1.222,0.24873,,3.176,615.36,,0.2686,0.0095268,0.681,2.9933,,,0.001685,0.4759,0.26502,3.308,24.86,18.255,0.31376,324.26,3.8095,0.526,,,365.11,0.2321,4.759,,0.4486,,1.3255,0.05797,107.14,220.13,13.713,,15.864,9.125,241.13,0.7682,,0.010031,7.136,0.039169,4.566,0.02484,0.14463,1.0778,,5.8994,,0.4846,0.015653,19.575,0.02179,25.74,1.1368,2.4758,12.192,6.943,0.19487,20.136,0.6422,2.0373
2025-02-10 00:00:00+00:00,97379.2,2659.99,200.32,,,32.5,2.4226,1.258,0.25528,,3.207,618.38,,0.2686,0.0095922,0.7114,3.2134,,,0.001695,0.4776,0.27357,3.427,25.658,18.791,0.31299,329.09,3.8171,0.533,,,386.75,0.24616,4.842,,0.4722,,1.3299,0.05954,120.17,221.94,14.558,,15.902,9.453,252.48,0.7688,,0.010031,8.141,0.04044,4.815,0.0243,0.14869,1.0971,,6.188,,0.5677,0.015796,19.398,0.02306,27.04,1.1954,2.5559,11.99,7.005,0.20023,20.678,0.6569,2.0056
